date,ic,n
2026-01-05,0.5883470964289716,34
2026-01-06,0.7784615010263662,25
2026-01-07,0.6345636896855441,38
2026-01-08,0.5696642647361466,25
2026-01-09,0.7459684644961998,36
2026-01-12,0.6583109822414752,50
2026-01-13,0.7467285048865477,37
2026-01-14,0.4360242864897131,59
2026-01-15,0.7252026119326033,50
2026-01-16,0.7730173404301042,52
2026-01-19,0.40507655902071904,60
2026-01-20,0.6783088972606507,50
2026-01-21,0.8194440211926417,37
2026-01-22,0.7010242890837826,42
2026-01-23,0.8104190586210668,43
2026-01-26,0.608937019600239,50
2026-01-27,0.579125097443831,43
2026-01-28,0.7959674215350364,43
2026-01-29,0.777202285447573,25
2026-01-30,0.6976315752707978,17
2026-02-02,0.8174238913695991,21
2026-02-03,0.6433422989051922,34
2026-02-04,0.5890657775629737,35
2026-02-05,0.3675750751597547,22
2026-02-06,0.8366600265340756,11
2026-02-09,0.7251564150583355,35
2026-02-10,0.7942046961368023,26
2026-02-11,0.7252173896779458,28
2026-02-23,0.5306882694812616,61
2026-02-24,0.715475200062701,55
2026-02-25,0.537918226540897,43
2026-02-26,0.26507891380757326,57
2026-03-02,0.7208159713900881,64
2026-03-03,0.602394101380741,40
2026-03-04,0.8568930704969754,12
2026-03-05,0.8042140055816764,58
2026-03-06,-0.09385373675720615,43
2026-03-09,0.05491411741166461,18
2026-03-10,0.7399106967155907,48
2026-03-11,0.522370975437955,78
2026-03-12,0.3212582609354004,42
2026-03-13,0.722793557291973,43
2026-03-16,0.5174973491527062,58
2026-03-17,0.7722882002043718,76
2026-03-18,0.539002817522092,66
2026-03-19,0.7748043463834701,61
2026-03-20,0.5031897877727057,51
2026-03-23,0.6353298621570477,27
2026-03-24,0.8661576113119296,27
2026-03-25,0.6267638424448896,58
2026-03-26,0.6679150172978023,35
2026-03-27,0.34160709796246364,29
2026-03-30,0.4077234539782502,37
2026-03-31,0.6759263694193746,12
2026-04-01,0.7201816730690358,63
2026-04-02,0.6291545244417467,28
2026-04-07,0.8148366405252815,44
2026-04-08,0.43927513077235325,76
2026-04-09,0.6668543344801982,52
2026-04-10,0.7460293754670987,56
2026-04-13,0.6665793586818763,103
2026-04-14,0.8169368068109236,58
2026-04-15,0.6609796255540009,51
2026-04-16,0.7429117950919445,56
2026-04-17,0.5409338767597573,67
2026-04-20,0.7083245555748293,112
2026-04-21,0.7739611036029465,90
2026-04-22,0.7722441470814498,97
2026-04-23,0.7834591857417904,46
2026-04-24,0.8530145246502042,49
2026-04-27,0.4684886395113232,27
2026-04-28,0.40502745492945885,55
2026-04-29,0.6814493385370302,36
2026-04-30,0.7002188525924976,40
2026-05-04,0.7339538409562242,74
2026-05-05,0.669719601714899,78
2026-05-06,0.7384244818222165,52
2026-05-07,0.5088938933584,82
2026-05-08,0.7664524406026985,52
2026-05-11,0.6910816012606118,75
2026-05-12,0.44399391202818916,54
2026-05-13,0.6088618078892682,46
2026-05-14,0.7763067829313711,67
2026-05-15,0.762984475205917,51
2026-05-18,0.5760518930175773,45
2026-05-19,0.7911281102375625,35
2026-05-20,0.6708708954252137,45
2026-05-21,0.7513825509207084,88
2026-05-22,0.6583161846821962,98
2026-05-25,0.6759988310842805,116
2026-05-26,0.7369011447332469,77
2026-05-27,0.7693218186208295,49
2026-05-28,0.8505590906645308,70
2026-05-29,0.7867183938373669,67
2026-06-01,0.7593307236268,98
2026-06-02,0.6317589193284145,64
2026-06-03,0.6091092438273287,86
2026-06-04,0.5187613666596922,59
2026-06-05,-0.20917411720288243,41
2026-06-08,0.6303271366146233,17
2026-06-09,0.5087117283818244,91
2026-06-10,0.8252891293427036,55
2026-06-11,0.7433919416750281,37
2026-06-12,0.816598841129884,66
2026-06-15,0.7614646547040145,88
2026-06-16,0.6895890477510261,51
2026-06-17,0.5978825337222946,53
2026-06-18,0.6284190945581033,76
2026-06-22,0.5708947363300723,100
2026-06-23,0.5520694075338979,47
2026-06-24,0.7671233202544349,43
2026-06-25,0.5485562914724477,36
2026-06-26,0.8504200642707612,15
2026-06-29,0.7772938294213116,50
2026-06-30,0.7241573853391627,74
2026-07-01,0.675659571467656,64
2026-07-02,0.4669421733689568,63
2026-07-03,0.5891730908949966,73
2026-07-06,0.7952020486173809,72
2026-07-07,0.612538098470554,23
