code,name,date,type,entry_price,exit_price,pnl,pnl_pct
6640,均華,2026-01-05,locked,718.0,718.0,0.0,0.0
6861,睿生光電,2026-01-05,locked,66.3,66.5,0.20000000000000284,0.0030165912518854126
6909,創控,2026-01-05,locked,43.2,44.95,1.75,0.04050925925925926
7772,耀穎,2026-01-05,locked,97.3,97.3,0.0,0.0
8028,昇陽半導體,2026-01-05,locked,205.0,206.5,1.5,0.007317073170731708
8110,華東,2026-01-05,locked,68.5,69.3,0.7999999999999972,0.01167883211678828
1713,國化,2026-01-06,locked,49.1,49.1,0.0,0.0
1717,長興,2026-01-06,locked,50.7,51.2,0.5,0.009861932938856016
1789,神隆,2026-01-06,locked,18.8,20.65,1.8499999999999979,0.09840425531914881
2337,旺宏,2026-01-06,locked,52.4,57.0,4.600000000000001,0.08778625954198477
2419,仲琦,2026-01-06,not_locked,25.85,25.1,-0.75,-0.029013539651837523
3051,力特,2026-01-06,locked,19.9,20.95,1.0500000000000007,0.05276381909547743
3530,晶相光,2026-01-06,locked,78.1,80.5,2.4000000000000057,0.03072983354673503
3623,富晶通,2026-01-06,not_locked,31.45,30.4,-1.0500000000000007,-0.033386327503974585
3669,圓展,2026-01-06,locked,35.2,38.7,3.5,0.09943181818181818
4540,全球傳動,2026-01-06,not_locked,38.5,37.9,-0.6000000000000014,-0.01558441558441562
4562,穎漢,2026-01-06,locked,38.25,39.3,1.0499999999999972,0.02745098039215679
4927,泰鼎-KY,2026-01-06,locked,35.55,36.7,1.1500000000000057,0.0323488045007034
4961,天鈺,2026-01-06,locked,148.5,151.0,2.5,0.016835016835016835
5245,智晶,2026-01-06,locked,28.25,28.95,0.6999999999999993,0.024778761061946878
5291,邑昇,2026-01-06,locked,34.1,35.8,1.6999999999999957,0.04985337243401747
5484,慧友,2026-01-06,locked,41.4,43.0,1.6000000000000014,0.038647342995169115
6116,彩晶,2026-01-06,locked,9.65,10.6,0.9499999999999993,0.0984455958549222
6167,久正,2026-01-06,locked,12.15,12.65,0.5,0.0411522633744856
6182,合晶,2026-01-06,not_locked,34.85,33.4,-1.4500000000000028,-0.041606886657101945
6488,環球晶,2026-01-06,not_locked,454.0,433.0,-21.0,-0.046255506607929514
6770,力積電,2026-01-06,locked,47.75,50.0,2.25,0.04712041884816754
6934,心誠鎂,2026-01-06,not_locked,102.0,91.0,-11.0,-0.10784313725490197
7795,長廣,2026-01-06,locked,273.0,273.0,0.0,0.0
8240,華宏,2026-01-06,not_locked,42.55,41.2,-1.3499999999999943,-0.03172737955346638
8374,羅昇,2026-01-06,locked,88.2,88.7,0.5,0.005668934240362812
1471,首利,2026-01-07,locked,9.6,10.0,0.40000000000000036,0.041666666666666706
1524,耿鼎,2026-01-07,not_locked,30.4,30.1,-0.29999999999999716,-0.009868421052631486
1605,華新,2026-01-07,locked,39.65,39.8,0.14999999999999858,0.003783102143757846
2007,燁興,2026-01-07,locked,8.2,8.55,0.3500000000000014,0.04268292682926847
2017,官田鋼,2026-01-07,locked,9.17,9.7,0.5299999999999994,0.057797164667393604
2022,聚亨,2026-01-07,locked,8.62,8.91,0.2900000000000009,0.033642691415313335
2028,威致,2026-01-07,locked,18.85,18.4,-0.45000000000000284,-0.023872679045092986
2303,聯電,2026-01-07,locked,54.1,57.0,2.8999999999999986,0.053604436229205146
2337,旺宏,2026-01-07,locked,57.6,57.3,-0.30000000000000426,-0.005208333333333408
2360,致茂,2026-01-07,not_locked,941.0,922.0,-19.0,-0.020191285866099893
2367,燿華,2026-01-07,locked,31.65,32.0,0.3500000000000014,0.011058451816745701
2369,菱生,2026-01-07,locked,26.65,27.7,1.0500000000000007,0.03939962476547845
2451,創見,2026-01-07,locked,238.0,245.0,7.0,0.029411764705882353
2495,普安,2026-01-07,locked,33.3,33.6,0.30000000000000426,0.009009009009009137
3025,星通,2026-01-07,locked,70.9,74.0,3.0999999999999943,0.04372355430183349
3049,精金,2026-01-07,locked,7.19,7.48,0.29000000000000004,0.04033379694019472
3060,銘異,2026-01-07,locked,36.35,38.0,1.6499999999999986,0.045392022008253055
3135,凌航,2026-01-07,not_locked,98.8,96.0,-2.799999999999997,-0.02834008097165989
3372,典範,2026-01-07,locked,22.65,22.85,0.20000000000000284,0.008830022075055314
3437,榮創,2026-01-07,locked,15.45,16.65,1.1999999999999993,0.07766990291262131
3494,誠研,2026-01-07,not_locked,9.33,9.14,-0.1899999999999995,-0.020364415862808093
3576,聯合再生,2026-01-07,locked,9.32,9.82,0.5,0.0536480686695279
3669,圓展,2026-01-07,locked,38.7,41.5,2.799999999999997,0.07235142118863042
4768,晶呈科技,2026-01-07,locked,429.5,453.0,23.5,0.05471478463329453
4973,廣穎,2026-01-07,locked,44.1,44.9,0.7999999999999972,0.018140589569160932
5014,建錩,2026-01-07,locked,11.0,11.6,0.5999999999999996,0.054545454545454515
6126,信音,2026-01-07,not_locked,34.9,34.45,-0.44999999999999574,-0.012893982808022801
6138,茂達,2026-01-07,not_locked,232.5,227.5,-5.0,-0.021505376344086023
6244,茂迪,2026-01-07,locked,22.1,22.75,0.6499999999999986,0.029411764705882287
6415,矽力*-KY,2026-01-07,locked,227.0,229.0,2.0,0.00881057268722467
6465,威潤,2026-01-07,locked,36.9,40.55,3.6499999999999986,0.09891598915989157
6485,點序,2026-01-07,locked,102.0,102.0,0.0,0.0
6643,M31,2026-01-07,locked,451.5,453.0,1.5,0.0033222591362126247
8059,凱碩,2026-01-07,locked,20.35,20.35,0.0,0.0
8105,凌巨,2026-01-07,locked,15.0,15.6,0.5999999999999996,0.03999999999999997
8112,至上,2026-01-07,not_locked,86.5,84.5,-2.0,-0.023121387283236993
8215,明基材,2026-01-07,locked,22.2,22.0,-0.1999999999999993,-0.009009009009008978
8422,可寧衛*,2026-01-07,locked,34.9,36.2,1.3000000000000043,0.0372492836676219
1586,和勤,2026-01-08,locked,29.15,30.1,0.9500000000000028,0.03259005145797608
1714,和桐,2026-01-08,locked,8.97,9.28,0.3099999999999987,0.034559643255295286
1780,立弘,2026-01-08,locked,26.1,26.1,0.0,0.0
1789,神隆,2026-01-08,locked,22.7,24.0,1.3000000000000007,0.05726872246696039
2337,旺宏,2026-01-08,locked,63.3,63.3,0.0,0.0
2380,虹光,2026-01-08,locked,5.53,5.97,0.4399999999999995,0.07956600361663643
3046,建碁,2026-01-08,not_locked,56.6,54.5,-2.1000000000000014,-0.037102473498233236
3105,穩懋,2026-01-08,not_locked,204.5,197.5,-7.0,-0.034229828850855744
3430,奇鈦科,2026-01-08,locked,75.3,80.0,4.700000000000003,0.06241699867197879
3588,通嘉,2026-01-08,locked,54.2,54.5,0.29999999999999716,0.005535055350553453
3693,營邦,2026-01-08,locked,355.5,365.5,10.0,0.02812939521800281
4542,科嶠,2026-01-08,locked,95.9,101.5,5.599999999999994,0.05839416058394154
4583,台灣精銳,2026-01-08,not_locked,708.0,702.0,-6.0,-0.00847457627118644
4726,永昕,2026-01-08,locked,34.4,34.4,0.0,0.0
4973,廣穎,2026-01-08,locked,48.5,51.3,2.799999999999997,0.05773195876288654
5227,立凱-KY,2026-01-08,locked,26.55,27.35,0.8000000000000007,0.03013182674199626
5543,桓鼎-KY,2026-01-08,locked,33.55,33.0,-0.5499999999999972,-0.016393442622950737
6116,彩晶,2026-01-08,locked,11.65,11.65,0.0,0.0
6465,威潤,2026-01-08,not_locked,40.55,39.9,-0.6499999999999986,-0.016029593094944478
6472,保瑞,2026-01-08,not_locked,544.0,542.0,-2.0,-0.003676470588235294
6603,富強鑫,2026-01-08,locked,30.45,31.95,1.5,0.04926108374384237
6616,特昇-KY,2026-01-08,locked,10.85,11.1,0.25,0.02304147465437788
6640,均華,2026-01-08,locked,742.0,750.0,8.0,0.01078167115902965
