code,name,date,type,entry_price,exit_price,pnl,pnl_pct,volume_k,baseline_volume_k,volume_ratio,volume_shares,desired_shares,realistic_shares,fill_ratio,naive_pnl_twd,realistic_pnl_twd
7772,耀穎,2026-01-05,locked,97.3,97.3,0.0,0.0,634,,,634000,1027.749229188078,1027.749229188078,1.0,0.0,0.0
8028,昇陽半導體,2026-01-05,locked,205.0,206.5,1.5,0.007317073170731708,45771,,,45771000,487.8048780487805,487.8048780487805,1.0,731.7073170731708,731.7073170731708
8105,凌巨,2026-01-05,locked,12.45,13.0,0.5500000000000007,0.044176706827309294,5406,,,5406000,8032.128514056225,8032.128514056225,1.0,4417.670682730929,4417.670682730929
8110,華東,2026-01-05,locked,68.5,69.3,0.7999999999999972,0.01167883211678828,85978,,,85978000,1459.85401459854,1459.85401459854,1.0,1167.8832116788278,1167.8832116788278
1713,國化,2026-01-06,locked,49.1,49.1,0.0,0.0,4630,,,4630000,2036.6598778004072,2036.6598778004072,1.0,0.0,0.0
1717,長興,2026-01-06,locked,50.7,51.2,0.5,0.009861932938856016,83779,,,83779000,1972.386587771203,1972.386587771203,1.0,986.1932938856015,986.1932938856015
1789,神隆,2026-01-06,locked,18.8,20.65,1.8499999999999979,0.09840425531914881,878,,,878000,5319.148936170212,5319.148936170212,1.0,9840.425531914882,9840.425531914882
2305,全友,2026-01-06,locked,11.8,12.3,0.5,0.0423728813559322,1574,,,1574000,8474.57627118644,8474.57627118644,1.0,4237.28813559322,4237.28813559322
2313,華通,2026-01-06,locked,103.5,103.5,0.0,0.0,84158,,,84158000,966.1835748792271,966.1835748792271,1.0,0.0,0.0
2337,旺宏,2026-01-06,locked,52.4,57.0,4.600000000000001,0.08778625954198477,377247,,,377247000,1908.3969465648856,1908.3969465648856,1.0,8778.625954198476,8778.625954198476
2342,茂矽,2026-01-06,locked,32.9,36.15,3.25,0.09878419452887538,7905,,,7905000,3039.51367781155,3039.51367781155,1.0,9878.419452887538,9878.419452887538
2349,錸德,2026-01-06,locked,14.7,15.0,0.3000000000000007,0.020408163265306173,19672,,,19672000,6802.721088435374,6802.721088435374,1.0,2040.816326530617,2040.816326530617
2408,南亞科,2026-01-06,locked,228.5,242.0,13.5,0.05908096280087528,154970,,,154970000,437.636761487965,437.636761487965,1.0,5908.096280087527,5908.096280087527
2409,友達,2026-01-06,locked,15.2,16.4,1.1999999999999993,0.07894736842105259,322393,,,322393000,6578.9473684210525,6578.9473684210525,1.0,7894.736842105258,7894.736842105258
2419,仲琦,2026-01-06,not_locked,25.85,25.1,-0.75,-0.029013539651837523,9973,,,9973000,3868.4719535783365,3868.4719535783365,1.0,-2901.3539651837523,-2901.3539651837523
2489,瑞軒,2026-01-06,locked,17.3,17.6,0.3000000000000007,0.017341040462427786,28594,,,28594000,5780.346820809248,5780.346820809248,1.0,1734.1040462427786,1734.1040462427786
3051,力特,2026-01-06,locked,19.9,20.95,1.0500000000000007,0.05276381909547743,1138,,,1138000,5025.125628140704,5025.125628140704,1.0,5276.381909547743,5276.381909547743
3374,精材,2026-01-06,not_locked,157.5,154.0,-3.5,-0.022222222222222223,14067,,,14067000,634.9206349206349,634.9206349206349,1.0,-2222.222222222222,-2222.222222222222
3481,群創,2026-01-06,locked,21.85,22.55,0.6999999999999993,0.03203661327231118,1042548,,,1042548000,4576.659038901602,4576.659038901602,1.0,3203.661327231118,3203.661327231118
3530,晶相光,2026-01-06,locked,78.1,80.5,2.4000000000000057,0.03072983354673503,2949,,,2949000,1280.4097311139565,1280.4097311139565,1.0,3072.9833546735026,3072.9833546735026
3532,台勝科,2026-01-06,locked,108.5,112.0,3.5,0.03225806451612903,8448,,,8448000,921.6589861751152,921.6589861751152,1.0,3225.806451612903,3225.806451612903
3623,富晶通,2026-01-06,not_locked,31.45,30.4,-1.0500000000000007,-0.033386327503974585,3862,,,3862000,3179.650238473768,3179.650238473768,1.0,-3338.6327503974585,-3338.6327503974585
3630,新鉅科,2026-01-06,locked,29.55,31.8,2.25,0.07614213197969542,1679,,,1679000,3384.09475465313,3384.09475465313,1.0,7614.213197969543,7614.213197969543
3669,圓展,2026-01-06,locked,35.2,38.7,3.5,0.09943181818181818,201,,,201000,2840.9090909090905,2840.9090909090905,1.0,9943.181818181816,9943.181818181816
3693,營邦,2026-01-06,locked,294.5,323.5,29.0,0.09847198641765705,1202,,,1202000,339.5585738539898,339.5585738539898,1.0,9847.198641765704,9847.198641765704
4540,全球傳動,2026-01-06,not_locked,38.5,37.9,-0.6000000000000014,-0.01558441558441562,4703,,,4703000,2597.4025974025976,2597.4025974025976,1.0,-1558.4415584415622,-1558.4415584415622
4562,穎漢,2026-01-06,locked,38.25,39.3,1.0499999999999972,0.02745098039215679,2406,,,2406000,2614.37908496732,2614.37908496732,1.0,2745.0980392156785,2745.0980392156785
4927,泰鼎-KY,2026-01-06,locked,35.55,36.7,1.1500000000000057,0.0323488045007034,55963,,,55963000,2812.9395218002815,2812.9395218002815,1.0,3234.8804500703395,3234.8804500703395
4934,太極,2026-01-06,locked,14.6,14.0,-0.5999999999999996,-0.04109589041095888,2103,,,2103000,6849.315068493151,6849.315068493151,1.0,-4109.589041095888,-4109.589041095888
4961,天鈺,2026-01-06,locked,148.5,151.0,2.5,0.016835016835016835,2325,,,2325000,673.4006734006734,673.4006734006734,1.0,1683.5016835016836,1683.5016835016836
5220,萬達光電,2026-01-06,locked,19.45,19.6,0.15000000000000213,0.007712082262210907,1066,,,1066000,5141.388174807198,5141.388174807198,1.0,771.2082262210906,771.2082262210906
5245,智晶,2026-01-06,locked,28.25,28.95,0.6999999999999993,0.024778761061946878,1143,,,1143000,3539.8230088495575,3539.8230088495575,1.0,2477.8761061946875,2477.8761061946875
5291,邑昇,2026-01-06,locked,34.1,35.8,1.6999999999999957,0.04985337243401747,2808,,,2808000,2932.551319648094,2932.551319648094,1.0,4985.337243401747,4985.337243401747
5483,中美晶,2026-01-06,not_locked,123.5,118.5,-5.0,-0.04048582995951417,21667,,,21667000,809.7165991902834,809.7165991902834,1.0,-4048.582995951417,-4048.582995951417
5484,慧友,2026-01-06,locked,41.4,43.0,1.6000000000000014,0.038647342995169115,770,,,770000,2415.458937198068,2415.458937198068,1.0,3864.734299516912,3864.734299516912
6113,亞矽,2026-01-06,locked,21.9,22.65,0.75,0.03424657534246576,806,,,806000,4566.210045662101,4566.210045662101,1.0,3424.657534246576,3424.657534246576
6116,彩晶,2026-01-06,locked,9.65,10.6,0.9499999999999993,0.0984455958549222,41239,,,41239000,10362.694300518135,10362.694300518135,1.0,9844.559585492221,9844.559585492221
6120,達運,2026-01-06,locked,13.5,13.55,0.05000000000000071,0.0037037037037037563,15012,,,15012000,7407.407407407408,7407.407407407408,1.0,370.37037037037567,370.37037037037567
6167,久正,2026-01-06,locked,12.15,12.65,0.5,0.0411522633744856,1169,,,1169000,8230.452674897118,8230.452674897118,1.0,4115.226337448559,4115.226337448559
6182,合晶,2026-01-06,not_locked,34.85,33.4,-1.4500000000000028,-0.041606886657101945,53306,,,53306000,2869.4404591104735,2869.4404591104735,1.0,-4160.688665710195,-4160.688665710195
6415,矽力*-KY,2026-01-06,locked,206.5,210.0,3.5,0.01694915254237288,6912,,,6912000,484.26150121065376,484.26150121065376,1.0,1694.915254237288,1694.915254237288
6488,環球晶,2026-01-06,not_locked,454.0,433.0,-21.0,-0.046255506607929514,14711,,,14711000,220.26431718061673,220.26431718061673,1.0,-4625.550660792951,-4625.550660792951
6770,力積電,2026-01-06,locked,47.75,50.0,2.25,0.04712041884816754,447327,,,447327000,2094.240837696335,2094.240837696335,1.0,4712.041884816754,4712.041884816754
6934,心誠鎂,2026-01-06,not_locked,102.0,91.0,-11.0,-0.10784313725490197,416,,,416000,980.3921568627451,980.3921568627451,1.0,-10784.313725490196,-10784.313725490196
7795,長廣,2026-01-06,locked,273.0,273.0,0.0,0.0,871,,,871000,366.3003663003663,366.3003663003663,1.0,0.0,0.0
8027,鈦昇,2026-01-06,not_locked,123.0,110.5,-12.5,-0.1016260162601626,18402,,,18402000,813.0081300813008,813.0081300813008,1.0,-10162.60162601626,-10162.60162601626
8105,凌巨,2026-01-06,locked,13.65,14.2,0.5499999999999989,0.04029304029304021,12804,,,12804000,7326.007326007326,7326.007326007326,1.0,4029.3040293040212,4029.3040293040212
8215,明基材,2026-01-06,locked,20.2,21.5,1.3000000000000007,0.0643564356435644,3022,,,3022000,4950.495049504951,4950.495049504951,1.0,6435.643564356439,6435.643564356439
8240,華宏,2026-01-06,not_locked,42.55,41.2,-1.3499999999999943,-0.03172737955346638,9186,,,9186000,2350.1762632197415,2350.1762632197415,1.0,-3172.7379553466376,-3172.7379553466376
8299,群聯,2026-01-06,locked,1615.0,1755.0,140.0,0.08668730650154799,11056,,,11056000,61.919504643962846,61.919504643962846,1.0,8668.7306501548,8668.7306501548
8374,羅昇,2026-01-06,locked,88.2,88.7,0.5,0.005668934240362812,1997,,,1997000,1133.7868480725624,1133.7868480725624,1.0,566.8934240362812,566.8934240362812
1303,南亞,2026-01-07,locked,64.7,66.2,1.5,0.0231839258114374,206471,,,206471000,1545.5950540958268,1545.5950540958268,1.0,2318.3925811437402,2318.3925811437402
1471,首利,2026-01-07,locked,9.6,10.0,0.40000000000000036,0.041666666666666706,1668,,,1668000,10416.666666666668,10416.666666666668,1.0,4166.666666666671,4166.666666666671
1524,耿鼎,2026-01-07,not_locked,30.4,30.1,-0.29999999999999716,-0.009868421052631486,6168,,,6168000,3289.4736842105262,3289.4736842105262,1.0,-986.8421052631485,-986.8421052631485
1605,華新,2026-01-07,locked,39.65,39.8,0.14999999999999858,0.003783102143757846,264591,,,264591000,2522.068095838588,2522.068095838588,1.0,378.3102143757846,378.3102143757846
1717,長興,2026-01-07,locked,55.7,55.7,0.0,0.0,127396,,,127396000,1795.3321364452422,1795.3321364452422,1.0,0.0,0.0
1789,神隆,2026-01-07,locked,20.65,22.7,2.0500000000000007,0.09927360774818406,1084,,,1084000,4842.6150121065375,4842.6150121065375,1.0,9927.360774818406,9927.360774818406
2007,燁興,2026-01-07,locked,8.2,8.55,0.3500000000000014,0.04268292682926847,1672,,,1672000,12195.121951219513,12195.121951219513,1.0,4268.292682926847,4268.292682926847
2017,官田鋼,2026-01-07,locked,9.17,9.7,0.5299999999999994,0.057797164667393604,3873,,,3873000,10905.125408942204,10905.125408942204,1.0,5779.716466739361,5779.716466739361
2022,聚亨,2026-01-07,locked,8.62,8.91,0.2900000000000009,0.033642691415313335,2334,,,2334000,11600.928074245941,11600.928074245941,1.0,3364.269141531334,3364.269141531334
2025,千興,2026-01-07,locked,11.8,12.6,0.7999999999999989,0.06779661016949143,1182,,,1182000,8474.57627118644,8474.57627118644,1.0,6779.661016949143,6779.661016949143
2028,威致,2026-01-07,locked,18.85,18.4,-0.45000000000000284,-0.023872679045092986,1040,,,1040000,5305.039787798408,5305.039787798408,1.0,-2387.2679045092987,-2387.2679045092987
2030,彰源,2026-01-07,locked,15.7,16.2,0.5,0.03184713375796178,3835,,,3835000,6369.426751592357,6369.426751592357,1.0,3184.7133757961783,3184.7133757961783
2032,新鋼,2026-01-07,locked,16.3,17.65,1.3499999999999979,0.08282208588957042,2321,,,2321000,6134.969325153374,6134.969325153374,1.0,8282.20858895704,8282.20858895704
2033,佳大,2026-01-07,not_locked,17.35,17.1,-0.25,-0.01440922190201729,1430,,,1430000,5763.6887608069155,5763.6887608069155,1.0,-1440.9221902017289,-1440.9221902017289
2038,海光,2026-01-07,locked,15.6,15.75,0.15000000000000036,0.009615384615384638,2467,,,2467000,6410.25641025641,6410.25641025641,1.0,961.5384615384638,961.5384615384638
2303,聯電,2026-01-07,locked,54.1,57.0,2.8999999999999986,0.053604436229205146,232693,,,232693000,1848.4288354898335,1848.4288354898335,1.0,5360.443622920515,5360.443622920515
2337,旺宏,2026-01-07,locked,57.6,57.3,-0.30000000000000426,-0.005208333333333408,465772,,,465772000,1736.111111111111,1736.111111111111,1.0,-520.8333333333408,-520.8333333333408
2342,茂矽,2026-01-07,locked,36.15,35.0,-1.1499999999999986,-0.031811894882434265,16586,,,16586000,2766.2517289073307,2766.2517289073307,1.0,-3181.1894882434262,-3181.1894882434262
2349,錸德,2026-01-07,locked,16.15,16.85,0.7000000000000028,0.043343653250774175,23887,,,23887000,6191.9504643962855,6191.9504643962855,1.0,4334.365325077418,4334.365325077418
2360,致茂,2026-01-07,not_locked,941.0,922.0,-19.0,-0.020191285866099893,5342,,,5342000,106.26992561105207,106.26992561105207,1.0,-2019.1285866099895,-2019.1285866099895
2367,燿華,2026-01-07,locked,31.65,32.0,0.3500000000000014,0.011058451816745701,102198,,,102198000,3159.55766192733,3159.55766192733,1.0,1105.84518167457,1105.84518167457
2369,菱生,2026-01-07,locked,26.65,27.7,1.0500000000000007,0.03939962476547845,32173,,,32173000,3752.34521575985,3752.34521575985,1.0,3939.962476547845,3939.962476547845
2380,虹光,2026-01-07,locked,5.03,5.53,0.5,0.09940357852882703,384,,,384000,19880.715705765408,19200.0,0.96576,9940.357852882704,9600.0
2409,友達,2026-01-07,locked,16.7,16.95,0.25,0.014970059880239521,852102,,,852102000,5988.023952095808,5988.023952095808,1.0,1497.005988023952,1497.005988023952
2451,創見,2026-01-07,locked,238.0,245.0,7.0,0.029411764705882353,7169,,,7169000,420.16806722689074,420.16806722689074,1.0,2941.176470588235,2941.176470588235
2495,普安,2026-01-07,locked,33.3,33.6,0.30000000000000426,0.009009009009009137,24501,,,24501000,3003.0030030030034,3003.0030030030034,1.0,900.9009009009138,900.9009009009138
3025,星通,2026-01-07,locked,70.9,74.0,3.0999999999999943,0.04372355430183349,2306,,,2306000,1410.4372355430182,1410.4372355430182,1.0,4372.355430183348,4372.355430183348
3027,盛達,2026-01-07,locked,24.55,25.3,0.75,0.03054989816700611,1510,,,1510000,4073.3197556008145,4073.3197556008145,1.0,3054.989816700611,3054.989816700611
3049,精金,2026-01-07,locked,7.19,7.48,0.29000000000000004,0.04033379694019472,10526,,,10526000,13908.205841446452,13908.205841446452,1.0,4033.3796940194716,4033.3796940194716
3060,銘異,2026-01-07,locked,36.35,38.0,1.6499999999999986,0.045392022008253055,16229,,,16229000,2751.0316368638237,2751.0316368638237,1.0,4539.202200825305,4539.202200825305
3135,凌航,2026-01-07,not_locked,98.8,96.0,-2.799999999999997,-0.02834008097165989,17148,,,17148000,1012.1457489878543,1012.1457489878543,1.0,-2834.008097165989,-2834.008097165989
3189,景碩,2026-01-07,not_locked,186.0,175.0,-11.0,-0.05913978494623656,64764,,,64764000,537.6344086021505,537.6344086021505,1.0,-5913.978494623656,-5913.978494623656
3372,典範,2026-01-07,locked,22.65,22.85,0.20000000000000284,0.008830022075055314,4339,,,4339000,4415.011037527594,4415.011037527594,1.0,883.0022075055315,883.0022075055315
3374,精材,2026-01-07,not_locked,169.0,168.0,-1.0,-0.005917159763313609,25725,,,25725000,591.7159763313609,591.7159763313609,1.0,-591.7159763313609,-591.7159763313609
3437,榮創,2026-01-07,locked,15.45,16.65,1.1999999999999993,0.07766990291262131,1507,,,1507000,6472.491909385114,6472.491909385114,1.0,7766.990291262132,7766.990291262132
3485,敘豐,2026-01-07,not_locked,140.5,132.0,-8.5,-0.060498220640569395,82,,,82000,711.7437722419929,711.7437722419929,1.0,-6049.82206405694,-6049.82206405694
3494,誠研,2026-01-07,not_locked,9.33,9.14,-0.1899999999999995,-0.020364415862808093,858,,,858000,10718.113612004287,10718.113612004287,1.0,-2036.4415862808091,-2036.4415862808091
3532,台勝科,2026-01-07,locked,119.0,121.0,2.0,0.01680672268907563,16280,,,16280000,840.3361344537815,840.3361344537815,1.0,1680.672268907563,1680.672268907563
3576,聯合再生,2026-01-07,locked,9.32,9.82,0.5,0.0536480686695279,24008,,,24008000,10729.613733905579,10729.613733905579,1.0,5364.806866952789,5364.806866952789
3669,圓展,2026-01-07,locked,38.7,41.5,2.799999999999997,0.07235142118863042,266,,,266000,2583.9793281653747,2583.9793281653747,1.0,7235.142118863042,7235.142118863042
3693,營邦,2026-01-07,locked,323.5,355.5,32.0,0.09891808346213292,502,,,502000,309.1190108191654,309.1190108191654,1.0,9891.808346213293,9891.808346213293
3709,鑫聯大投控,2026-01-07,not_locked,62.3,61.2,-1.0999999999999943,-0.01765650080256813,10905,,,10905000,1605.1364365971108,1605.1364365971108,1.0,-1765.6500802568128,-1765.6500802568128
4764,雙鍵,2026-01-07,not_locked,142.0,131.5,-10.5,-0.07394366197183098,7785,,,7785000,704.2253521126761,704.2253521126761,1.0,-7394.366197183099,-7394.366197183099
4768,晶呈科技,2026-01-07,locked,429.5,453.0,23.5,0.05471478463329453,2035,,,2035000,232.8288707799767,232.8288707799767,1.0,5471.478463329453,5471.478463329453
4973,廣穎,2026-01-07,locked,44.1,44.9,0.7999999999999972,0.018140589569160932,12551,,,12551000,2267.573696145125,2267.573696145125,1.0,1814.0589569160934,1814.0589569160934
5011,久陽,2026-01-07,locked,10.75,10.75,0.0,0.0,576,,,576000,9302.32558139535,9302.32558139535,1.0,0.0,0.0
5014,建錩,2026-01-07,locked,11.0,11.6,0.5999999999999996,0.054545454545454515,1392,,,1392000,9090.90909090909,9090.90909090909,1.0,5454.54545454545,5454.54545454545
5269,祥碩,2026-01-07,locked,1305.0,1345.0,40.0,0.03065134099616858,1779,,,1779000,76.62835249042146,76.62835249042146,1.0,3065.1340996168583,3065.1340996168583
5521,工信,2026-01-07,locked,23.9,25.6,1.7000000000000028,0.07112970711297084,10026,,,10026000,4184.100418410042,4184.100418410042,1.0,7112.970711297084,7112.970711297084
6116,彩晶,2026-01-07,locked,10.6,11.25,0.6500000000000004,0.06132075471698117,35250,,,35250000,9433.962264150943,9433.962264150943,1.0,6132.075471698116,6132.075471698116
6126,信音,2026-01-07,not_locked,34.9,34.45,-0.44999999999999574,-0.012893982808022801,5229,,,5229000,2865.329512893983,2865.329512893983,1.0,-1289.3982808022802,-1289.3982808022802
6138,茂達,2026-01-07,not_locked,232.5,227.5,-5.0,-0.021505376344086023,1278,,,1278000,430.10752688172045,430.10752688172045,1.0,-2150.537634408602,-2150.537634408602
6167,久正,2026-01-07,not_locked,13.35,12.5,-0.8499999999999996,-0.0636704119850187,3749,,,3749000,7490.63670411985,7490.63670411985,1.0,-6367.04119850187,-6367.04119850187
6241,鑫永洋,2026-01-07,not_locked,13.65,13.35,-0.3000000000000007,-0.02197802197802203,449,,,449000,7326.007326007326,7326.007326007326,1.0,-2197.802197802203,-2197.802197802203
6244,茂迪,2026-01-07,locked,22.1,22.75,0.6499999999999986,0.029411764705882287,12906,,,12906000,4524.886877828054,4524.886877828054,1.0,2941.1764705882288,2941.1764705882288
6415,矽力*-KY,2026-01-07,locked,227.0,229.0,2.0,0.00881057268722467,20098,,,20098000,440.52863436123346,440.52863436123346,1.0,881.0572687224669,881.0572687224669
6443,元晶,2026-01-07,locked,28.4,29.8,1.4000000000000021,0.049295774647887404,80654,,,80654000,3521.1267605633807,3521.1267605633807,1.0,4929.57746478874,4929.57746478874
6465,威潤,2026-01-07,locked,36.9,40.55,3.6499999999999986,0.09891598915989157,226,,,226000,2710.027100271003,2710.027100271003,1.0,9891.598915989156,9891.598915989156
6485,點序,2026-01-07,locked,102.0,102.0,0.0,0.0,4892,,,4892000,980.3921568627451,980.3921568627451,1.0,0.0,0.0
6643,M31,2026-01-07,locked,451.5,453.0,1.5,0.0033222591362126247,2227,,,2227000,221.48394241417498,221.48394241417498,1.0,332.22591362126246,332.22591362126246
8059,凱碩,2026-01-07,locked,20.35,20.35,0.0,0.0,625,,,625000,4914.004914004914,4914.004914004914,1.0,0.0,0.0
8105,凌巨,2026-01-07,locked,15.0,15.6,0.5999999999999996,0.03999999999999997,28057,,,28057000,6666.666666666667,6666.666666666667,1.0,3999.9999999999977,3999.9999999999977
